Country Name;Country Code;Indicator Name;Indicator Code;A1960;A1961;A1962;A1963;A1964;A1965;A1966;A1967;A1968;A1969;A1970;A1971;A1972;A1973;A1974;A1975;A1976;A1977;A1978;A1979;A1980;A1981;A1982;A1983;A1984;A1985;A1986;A1987;A1988;A1989;A1990;A1991;A1992;A1993;A1994;A1995;A1996;A1997;A1998;A1999;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015;A2016;A2017;A2018;A2019;A2020;A2021;A2022;A2023; 1960-1999 ; 2000-2023 ; SOMME_TOTAL ; TOT_DECES_GARCONS ; TOT_DECES_FILLE ;AGE_MOYEN;TAUX_PAUVRETE;TAUX_ACCES_SOIN_PRENATAUX ;TAUX_ACCOUCHEMTS_ASSITES;TAUX_ALPHABETISATION_FEMME;DEPENSES_SANTE_PAR_HABITANT;TAUX_VACC_NEO_BCG;INDICE_DEV_HUMAIN;TAUX_ACCES_EAU_POTABLE;TAUX_NATALITE
Aruba;ABW;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;60;9;49;88;39;226;26;8;96;23
;AFE;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;592181;596523;599271;603120;606885;612493;616505;616910;614828;615036;613303;612273;609450;605467;603156;601661;601265;600733;600623;597881;594788;591380;585746;582134;580351;578704;577100;575899;574959;574180;571423;568287;564141;0;6 073 752;13 564 904;19 638 656;5 891 597;13 747 059;45;77;53;18;46;331;36;17;26;58
Afghanistan;AFG;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42251;42503;43265;41566;42355;49873;55271;58681;59901;60636;61207;61834;62334;59593;58970;62426;62958;61541;61952;61397;56447;56527;55863;54731;55877;55737;55396;55657;54310;53610;53204;52703;52327;52411;51315;0;619 343;1 307 286;1 926 629;577 989;1 348 640;49;22;26;17;41;138;15;98;92;9
;AFW;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;456180;462298;470203;478804;485267;491321;496574;499187;501343;506300;508906;508932;508352;507533;506374;508009;509112;511217;514969;518734;522874;527323;530023;532019;534828;537960;540530;542220;543591;543678;542777;542899;540991;0;4 847 477;12 083 851;16 931 328;5 079 398;11 851 930;41;79;85;12;17;154;26;85;53;47
Angola;AGO;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32549;33402;34013;34738;35491;36328;37129;37696;38152;38573;38957;39368;39538;39538;39427;39304;38987;38729;38427;38067;37663;37397;37080;36757;36385;36057;35744;35623;35590;35565;35602;35622;35362;0;358 071;860 789;1 218 860;365 658;853 202;51;39;46;8;42;289;9;10;33;60
Albanie;ALB;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1709;1611;1526;1433;1352;1275;1215;1168;1117;1059;1015;970;946;919;905;888;856;807;759;714;661;603;548;510;469;425;378;333;291;255;231;218;214;210;206;204;206;209;210;211;211;208;201;0;22 244;7 212;29 456;5 891;23 565;35;62;3;3;33;179;30;45;86;50
Andorre;AND;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;0;34;37;71;14;57;40;0;83;15;4;313;39;34;16;69
Le monde arabe;ARB;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;255828;250220;245797;240232;236190;230412;224377;220349;216988;214203;211618;209481;206979;205511;203618;202088;201978;201825;201335;200934;201437;200637;198733;197280;194955;191991;186309;183407;180911;177975;174836;171133;167445;0;2 334 596;4 472 416;6 807 012;1 361 402;5 445 610;48;82;66;4;1;106;38;21;25;12
Émirats arabes unis;ARE;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;410;424;421;410;399;390;383;384;379;377;378;379;368;362;343;338;298;301;300;301;304;312;319;328;341;347;338;342;378;415;427;415;388;400;423;435;426;402;370;327;294;296;270;244;0;7 649;8 237;15 886;3 177;12 709;54;48;57;3;20;101;29;64;27;21
Argentine;ARG;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;14219;14499;14760;14982;15188;15298;15205;14775;13975;12871;11712;10945;10698;10988;11391;11654;11693;11427;10975;10715;10588;10594;10641;10504;9898;8985;8206;7913;7981;7982;7826;7590;7193;6817;6530;6283;6057;5810;5650;5566;5545;5533;5453;5296;5091;4775;4462;4106;3958;3760;3671;3596;0;343 280;128 550;471 830;94 366;377 464;51;46;11;0;36;350;14;7;76;77
